activity,adult_participation_rate_pct,adult_participants_est,child_participation_rate_pct,child_participants_est,total_participants_est_2025,derived_total_participation_rate_pct,adult_participants_2024_est,child_participants_2024_est,total_participants_2024_est,total_participants_change_est,total_participants_change_pct,adult_rank_2025,child_rank_2025,total_rank_2025,is_team_sport,is_selected_comparison,source_file,source_notes
Ice hockey,0.061,13712,0.064,3075,16787,0.061,13224,1477,14701,2086,14.19,86,76,83,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Jet skiing,0.067,15234,0.027,1324,16558,0.06,19143,463,19606,-3048,-15.55,82,89,84,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Physical Culture,0.061,13759,0.054,2601,16359,0.06,7166,6644,13810,2550,18.46,85,80,85,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Synchronised swimming,0.052,11842,0.089,4300,16142,0.059,15794,5449,21244,-5101,-24.01,88,68,86,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Pony Club,0.046,10306,0.119,5734,16040,0.058,10730,6213,16943,-903,-5.33,90,61,87,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Dragon boat racing,0.07,15825,0.0,0,15825,0.058,10922,407,11329,4497,39.69,81,122,88,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Circus,0.034,7650,0.168,8108,15758,0.057,9505,8487,17992,-2234,-12.41,96,52,89,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Gaelic football,0.063,14208,0.025,1225,15434,0.056,8105,4633,12738,2695,21.16,84,91,90,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Diving,0.05,11252,0.086,4134,15386,0.056,10788,3232,14020,1365,9.74,89,71,91,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Obstacle,0.056,12774,0.047,2287,15061,0.055,6442,2213,8655,6406,74.01,87,82,92,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Fencing,0.045,10275,0.087,4209,14483,0.053,16938,5238,22176,-7692,-34.69,92,69,93,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Scouts,0.022,4900,0.19,9179,14079,0.051,8296,12866,21163,-7084,-33.47,108,46,94,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Tee ball,0.012,2788,0.225,10837,13624,0.05,6563,10501,17064,-3440,-20.16,115,41,95,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
BMX,0.028,6337,0.146,7040,13378,0.049,9649,6830,16478,-3101,-18.82,102,56,96,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Gridiron,0.045,10298,0.029,1393,11691,0.043,13817,1204,15021,-3329,-22.16,91,87,97,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Parkour,0.022,5079,0.135,6529,11608,0.042,6316,15266,21582,-9974,-46.22,107,59,98,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Powerlifting,0.042,9543,0.0,0,9543,0.035,13839,616,14455,-4912,-33.98,93,132,99,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Lacrosse,0.03,6843,0.056,2696,9539,0.035,6430,4369,10799,-1260,-11.67,99,78,100,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Wrestling,0.04,9153,0.007,337,9490,0.035,7779,952,8731,759,8.7,95,113,101,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Body building,0.041,9330,0.0,0,9330,0.034,8061,0,8061,1269,15.74,94,119,102,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Geocaching,0.032,7282,0.03,1437,8719,0.032,6234,1587,7822,897,11.47,98,86,103,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Kendo,0.03,6759,0.02,960,7720,0.028,2070,0,2070,5649,272.9,100,99,104,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Floorball,0.028,6395,0.024,1149,7544,0.027,1398,1486,2884,4660,161.59,101,94,105,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Wood chopping,0.033,7426,0.0,0,7426,0.027,8828,0,8828,-1401,-15.88,97,142,106,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Eight ball,0.027,6104,0.025,1185,7288,0.027,9627,2300,11927,-4639,-38.89,103,93,107,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Horse racing,0.024,5532,0.03,1460,6992,0.025,8939,0,8939,-1947,-21.78,105,85,108,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Outrigger canoe,0.027,6079,0.016,784,6864,0.025,5876,0,5876,988,16.81,104,105,109,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Kung fu wushu,0.009,2099,0.097,4682,6782,0.025,2625,3427,6052,730,12.06,122,64,110,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Guides,0.004,944,0.109,5276,6220,0.023,1995,3006,5000,1220,24.39,129,62,111,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Baton twirling,0.012,2672,0.057,2729,5402,0.02,6398,4750,11148,-5746,-51.55,117,77,112,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Sword fighting,0.023,5093,0.0,0,5093,0.019,3238,729,3966,1127,28.41,106,139,113,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Rogaining,0.022,4892,0.0,0,4892,0.018,1983,0,1983,2908,146.64,109,134,114,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Campdrafting,0.013,2930,0.015,735,3665,0.013,4912,989,5901,-2236,-37.89,114,107,115,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Boomerang throwing,0.015,3392,0.005,239,3630,0.013,2510,0,2510,1120,44.62,110,115,116,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Kitesurfing/kiteboarding,0.013,2987,0.007,317,3304,0.012,4324,0,4324,-1020,-23.59,113,114,117,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Paintball,0.012,2742,0.01,481,3222,0.012,11359,1011,12370,-9147,-73.95,116,112,118,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Bocce/Boules,0.014,3157,0.0,0,3157,0.011,3096,0,3096,61,1.96,111,118,119,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Roller Derby,0.013,3040,0.0,0,3040,0.011,5849,1401,7249,-4209,-58.06,112,135,120,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Marching,0.012,2669,0.0,0,2669,0.01,914,331,1246,1423,114.28,118,127,121,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Harness racing,0.011,2410,0.0,0,2410,0.009,4032,0,4032,-1621,-40.22,119,124,122,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Goalball,0.01,2292,0.0,0,2292,0.008,2554,789,3343,-1051,-31.44,120,123,123,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Curling,0.01,2213,0.0,0,2213,0.008,2540,0,2540,-327,-12.88,121,121,124,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Ice racing/speed skating,0.007,1549,0.013,632,2181,0.008,2015,474,2490,-309,-12.4,124,109,125,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Biathlon,0.006,1309,0.016,794,2103,0.008,3187,663,3849,-1746,-45.36,125,104,126,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Lifesaving royal,0.005,1168,0.017,801,1969,0.007,0,639,639,1331,208.39,126,103,127,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Polocrosse,0.004,1008,0.016,777,1785,0.007,1023,0,1023,762,74.51,128,106,128,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Korfball,0.005,1166,0.0,0,1166,0.004,0,492,492,674,136.91,127,125,129,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Boccia,0.0,0,0.02,977,977,0.004,0,0,0,977,,140,98,130,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Petanque,0.003,741,0.0,0,741,0.003,2018,0,2018,-1277,-63.3,130,130,131,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Modern pentathlon,0.003,682,0.0,0,682,0.002,1653,0,1653,-972,-58.78,131,128,132,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Sepak takraw,0.003,597,0.0,0,597,0.002,508,0,508,89,17.45,132,136,133,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Skirmish,0.003,596,0.0,0,596,0.002,751,0,751,-156,-20.71,133,138,134,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Rodeo,0.003,595,0.0,0,595,0.002,601,0,601,-6,-0.99,134,133,135,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Broomball,0.002,546,0.0,0,546,0.002,1140,0,1140,-594,-52.08,135,120,136,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Tobogganing,0.002,545,0.0,0,545,0.002,0,0,0,545,,136,140,137,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Wheelchair rugby,0.002,520,0.0,0,520,0.002,2598,0,2598,-2077,-79.97,137,141,138,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Bobsledding,0.002,428,0.0,0,428,0.002,0,0,0,428,,138,117,139,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Polo,0.001,332,0.0,0,332,0.001,0,498,498,-166,-33.38,139,131,140,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Luging,0.0,0,0.0,0,0,0.0,950,360,1310,-1310,-100.0,141,126,141,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Skeleton,0.0,0,0.0,0,0,0.0,0,0,0,0,,142,137,142,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
